,c,sigma,noise,algorithm,ari
0,45,0.25,0.26249999999999996,DiSim,0.18018514034230176
0,45,0.25,0.26249999999999996,Herm,0.38315491794591067
0,45,0.45,0.26249999999999996,DiSim,0.19931727185959222
0,45,0.45,0.26249999999999996,Herm,0.3636622214943275
0,60,0.05,0.26249999999999996,DiSim,0.17567893421377975
0,60,0.05,0.26249999999999996,Herm,0.4888699971236425
0,60,0.25,0.26249999999999996,DiSim,0.15971543434779636
0,60,0.25,0.26249999999999996,Herm,0.40507797830651354
0,60,0.45,0.26249999999999996,DiSim,0.21796599379375825
0,60,0.45,0.26249999999999996,Herm,0.37787358536895593
0,30,0.05,0.35,DiSim,0.18332014436113062
0,30,0.05,0.35,Herm,0.24023985255561586
0,30,0.25,0.35,DiSim,0.14542831895896793
0,30,0.25,0.35,Herm,0.16891841302223679
0,30,0.45,0.35,DiSim,0.10395141468454958
0,30,0.45,0.35,Herm,0.14144647556523524
0,45,0.05,0.35,DiSim,0.17399024412256914
0,45,0.05,0.35,Herm,0.40103915069556373
0,45,0.25,0.35,DiSim,0.13280299497480358
0,45,0.25,0.35,Herm,0.2514470402241858
0,45,0.45,0.35,DiSim,0.1704472546203508
0,45,0.45,0.35,Herm,0.18607960362156423
0,60,0.05,0.35,DiSim,0.1391005619252066
0,60,0.05,0.35,Herm,0.3524059981687825
0,60,0.25,0.35,DiSim,0.1698269321220387
0,60,0.25,0.35,Herm,0.2966412705793718
0,60,0.45,0.35,DiSim,0.1895557370941154
0,60,0.45,0.35,Herm,0.21357749561123832
0,30,0.05,0.0,DiSim,0.3371884345722091
0,30,0.05,0.0,Herm,0.5053683360761962
0,30,0.25,0.0,DiSim,0.4272198333758757
0,30,0.25,0.0,Herm,0.4851627723819423
0,30,0.45,0.0,DiSim,0.4966803419306316
0,30,0.45,0.0,Herm,0.5590364365903828
0,45,0.05,0.0,DiSim,0.3679689786694365
0,45,0.05,0.0,Herm,0.5240997096419191
0,45,0.25,0.0,DiSim,0.4343804459773731
0,45,0.25,0.0,Herm,0.5072671659801551
0,45,0.45,0.0,DiSim,0.5816989142018681
0,45,0.45,0.0,Herm,0.6366866059346479
0,60,0.05,0.0,DiSim,0.3916015532287084
