,c,sigma,noise,tau,algorithm,ari
0,20,0.25,0.15,1,DiSim,0.17172938666592055
0,20,0.25,0.15,1,Herm,0.23544660866265602
0,20,0.25,0.15,1.15,DiSim,0.17187796212514556
0,20,0.25,0.15,1.15,Herm,0.22147549827806626
0,20,0.25,0.15,1.25,DiSim,0.17160049122562
0,20,0.25,0.15,1.25,Herm,0.21033848824663107
0,20,0.25,0.15,1.6,DiSim,0.1719759119638273
0,20,0.25,0.15,1.6,Herm,0.18492500972240494
0,20,0.25,0.15,2,DiSim,0.1716451246275874
0,20,0.25,0.15,2,Herm,0.1561274629587744
0,20,0.25,0.15,3,DiSim,0.17201041478325202
0,20,0.25,0.15,3,Herm,0.08121967248268161
0,60,0.25,0.15,0.1,DiSim,0.23901871425991883
0,60,0.25,0.15,0.1,Herm,0.4932139100740324
0,60,0.25,0.15,0.4,DiSim,0.23900246588785692
0,60,0.25,0.15,0.4,Herm,0.48028233121895464
0,60,0.25,0.15,0.75,DiSim,0.23911609837874126
0,60,0.25,0.15,0.75,Herm,0.4691432234528706
0,60,0.25,0.15,0.85,DiSim,0.23901871425991883
0,60,0.25,0.15,0.85,Herm,0.4661415392377148
0,60,0.25,0.15,1,DiSim,0.23908780831349233
0,60,0.25,0.15,1,Herm,0.46150327914071687
0,60,0.25,0.15,1.15,DiSim,0.260980955514491
0,60,0.25,0.15,1.15,Herm,0.455981595510144
0,60,0.25,0.15,1.25,DiSim,0.2619387333794487
0,60,0.25,0.15,1.25,Herm,0.45341983509419426
0,60,0.25,0.15,1.6,DiSim,0.2391714247163524
0,60,0.25,0.15,1.6,Herm,0.44206644518501426
0,60,0.25,0.15,2,DiSim,0.26067679277764844
0,60,0.25,0.15,2,Herm,0.4295225013958178
0,60,0.25,0.15,3,DiSim,0.23900937868964187
0,60,0.25,0.15,3,Herm,0.39702143380099075
0,20,0.25,0.0,0.1,DiSim,0.35323519510973395
0,20,0.25,0.0,0.1,Herm,0.43140800191572515
0,20,0.25,0.0,0.4,DiSim,0.3534079644079081
0,20,0.25,0.0,0.4,Herm,0.39657411058256314
0,20,0.25,0.0,0.75,DiSim,0.353100126176929
0,20,0.25,0.0,0.75,Herm,0.3582735934480973
0,20,0.25,0.0,0.85,DiSim,0.35291062183481353
0,20,0.25,0.0,0.85,Herm,0.34827056028642284
0,20,0.25,0.0,1,DiSim,0.35304090500900587
0,20,0.25,0.0,1,Herm,0.33629300574835286
0,20,0.25,0.0,1.15,DiSim,0.3530067387943828
0,20,0.25,0.0,1.15,Herm,0.3229081465705046
0,20,0.25,0.0,1.25,DiSim,0.35322234344146064
0,20,0.25,0.0,1.25,Herm,0.3159907416463753
0,20,0.25,0.0,1.6,DiSim,0.35309467396935146
0,20,0.25,0.0,1.6,Herm,0.28941894028759013
0,20,0.25,0.0,2,DiSim,0.3533558968841544
0,20,0.25,0.0,2,Herm,0.26157509961360637
0,20,0.25,0.0,3,DiSim,0.3528843699572231
0,20,0.25,0.0,3,Herm,0.19993355834179743
0,60,0.25,0.0,0.1,DiSim,0.481708832974979
0,60,0.25,0.0,0.1,Herm,0.5049511228725059
0,60,0.25,0.0,0.4,DiSim,0.481708832974979
0,60,0.25,0.0,0.4,Herm,0.4977254110288256
0,60,0.25,0.0,0.75,DiSim,0.481708832974979
0,60,0.25,0.0,0.75,Herm,0.4883207793575156
0,60,0.25,0.0,0.85,DiSim,0.48186782974403086
0,60,0.25,0.0,0.85,Herm,0.48474455714773274
0,60,0.25,0.0,1,DiSim,0.481708832974979
0,60,0.25,0.0,1,Herm,0.48259265190241646
0,60,0.25,0.0,1.15,DiSim,0.48181540405361145
0,60,0.25,0.0,1.15,Herm,0.4788005415948503
0,60,0.25,0.0,1.25,DiSim,0.481708832974979
0,60,0.25,0.0,1.25,Herm,0.4766646401329383
0,60,0.25,0.0,1.6,DiSim,0.481708832974979
0,60,0.25,0.0,1.6,Herm,0.46963306324418286
0,60,0.25,0.0,2,DiSim,0.4817965023459102
0,60,0.25,0.0,2,Herm,0.46380811601129346
0,60,0.25,0.0,3,DiSim,0.4817965023459102
0,60,0.25,0.0,3,Herm,0.44822041153284237
0,20,0.25,0.15,0.1,DiSim,0.1718377289935123
0,20,0.25,0.15,0.1,Herm,0.3360027352257413
0,20,0.25,0.15,0.4,DiSim,0.17189098313877635
0,20,0.25,0.15,0.4,Herm,0.2919505962691188
0,20,0.25,0.15,0.75,DiSim,0.17204018417091552
0,20,0.25,0.15,0.75,Herm,0.2578579843567407
0,20,0.25,0.15,0.85,DiSim,0.1718299535475339
0,20,0.25,0.15,0.85,Herm,0.24585347227776974
0,20,0.25,0.15,1,DiSim,0.17172938666592055
0,20,0.25,0.15,1,Herm,0.23544660866265602
0,20,0.25,0.15,1.15,DiSim,0.17187796212514556
0,20,0.25,0.15,1.15,Herm,0.22147549827806626
0,20,0.25,0.15,1.25,DiSim,0.17160049122562
0,20,0.25,0.15,1.25,Herm,0.21033848824663107
0,20,0.25,0.15,1.6,DiSim,0.1719759119638273
0,20,0.25,0.15,1.6,Herm,0.18492500972240494
0,20,0.25,0.15,2,DiSim,0.1716451246275874
0,20,0.25,0.15,2,Herm,0.1561274629587744
0,20,0.25,0.15,3,DiSim,0.1717641508354194
0,20,0.25,0.15,3,Herm,0.08121967248268161
0,60,0.25,0.15,0.1,DiSim,0.23901871425991883
0,60,0.25,0.15,0.1,Herm,0.4932139100740324
0,60,0.25,0.15,0.4,DiSim,0.23922934364692838
0,60,0.25,0.15,0.4,Herm,0.48028233121895464
0,60,0.25,0.15,0.75,DiSim,0.23915098538793464
0,60,0.25,0.15,0.75,Herm,0.4691432234528706
0,60,0.25,0.15,0.85,DiSim,0.23901871425991883
0,60,0.25,0.15,0.85,Herm,0.4661415392377148
0,60,0.25,0.15,1,DiSim,0.23908780831349233
0,60,0.25,0.15,1,Herm,0.46150327914071687
0,60,0.25,0.15,1.15,DiSim,0.23922255754466423
0,60,0.25,0.15,1.15,Herm,0.455981595510144
0,60,0.25,0.15,1.25,DiSim,0.2619387333794487
0,60,0.25,0.15,1.25,Herm,0.45341983509419426
0,60,0.25,0.15,1.6,DiSim,0.2391714247163524
0,60,0.25,0.15,1.6,Herm,0.44206644518501426
0,60,0.25,0.15,2,DiSim,0.26081848392246776
0,60,0.25,0.15,2,Herm,0.4295225013958178
0,60,0.25,0.15,3,DiSim,0.23900937868964187
0,60,0.25,0.15,3,Herm,0.39702143380099075
