,model,p,noise,algorithm,ari
0,DSBM_PA,0.002,0.35,DiSim,0.00010419479697863172
0,DSBM_PA,0.002,0.35,Herm,0.00018908944534443842
0,DSBM,0.004,0.35,DiSim,0.0020417384899333044
0,DSBM,0.004,0.35,Herm,0.14263827861533995
0,DSBM_PA,0.004,0.35,DiSim,6.312627651582149e-05
0,DSBM_PA,0.004,0.35,Herm,0.00024794018886355434
0,DSBM,0.006,0.35,DiSim,0.028579956066205767
0,DSBM,0.006,0.35,Herm,0.37216569492730145
0,DSBM_PA,0.006,0.35,DiSim,4.806257365151092e-05
0,DSBM_PA,0.006,0.35,Herm,2.3968582616507507e-05
0,DSBM,0.008,0.35,DiSim,0.11101387124281303
0,DSBM,0.008,0.35,Herm,0.546220273573077
0,DSBM_PA,0.008,0.35,DiSim,-4.709582848965209e-05
0,DSBM_PA,0.008,0.35,Herm,-1.0104420532481578e-05
0,DSBM,0.002,0.0,DiSim,0.5766625037423972
0,DSBM,0.002,0.0,Herm,0.9769800507536345
0,DSBM_PA,0.002,0.0,DiSim,0.013372297672508315
0,DSBM_PA,0.002,0.0,Herm,0.21864931371126675
0,DSBM,0.004,0.0,DiSim,0.6702992088938952
0,DSBM,0.004,0.0,Herm,0.9978790914419644
0,DSBM_PA,0.004,0.0,DiSim,0.006623064449663351
0,DSBM_PA,0.004,0.0,Herm,0.48766681059509565
0,DSBM,0.006,0.0,DiSim,0.7053723725898959
0,DSBM,0.006,0.0,Herm,0.9997500125
0,DSBM_PA,0.006,0.0,DiSim,0.22980303678563008
0,DSBM_PA,0.006,0.0,Herm,0.6030414143792099
0,DSBM,0.008,0.0,DiSim,0.7231327302413649
0,DSBM,0.008,0.0,Herm,0.9998749906230465
0,DSBM_PA,0.008,0.0,DiSim,0.2890281499683025
0,DSBM_PA,0.008,0.0,Herm,0.662001914404952
0,DSBM,0.002,0.0875,DiSim,0.27736217298981203
0,DSBM,0.002,0.0875,Herm,0.9139111981088995
0,DSBM_PA,0.002,0.0875,DiSim,0.0008619394172579168
0,DSBM_PA,0.002,0.0875,Herm,0.0018167766712121629
0,DSBM,0.004,0.0875,DiSim,0.5750084356667319
0,DSBM,0.004,0.0875,Herm,0.9893581631533814
0,DSBM_PA,0.004,0.0875,DiSim,0.000652397939389428
0,DSBM_PA,0.004,0.0875,Herm,0.002636519867739036
0,DSBM,0.006,0.0875,DiSim,0.6365003494325937
0,DSBM,0.006,0.0875,Herm,0.9975057514995433
0,DSBM_PA,0.006,0.0875,DiSim,0.00023391436604814454
0,DSBM_PA,0.006,0.0875,Herm,0.002178050714529206
0,DSBM,0.008,0.0875,DiSim,0.6599183635410079
0,DSBM,0.008,0.0875,Herm,0.9992504126874944
0,DSBM_PA,0.008,0.0875,DiSim,8.699115020762152e-05
0,DSBM_PA,0.008,0.0875,Herm,0.0016668396289277795
0,DSBM,0.002,0.175,DiSim,0.019485001906124923
0,DSBM,0.002,0.175,Herm,0.703998767104834
0,DSBM_PA,0.002,0.175,DiSim,0.0003173436616371161
0,DSBM_PA,0.002,0.175,Herm,0.0008765631767021603
0,DSBM,0.004,0.175,DiSim,0.2730520024671457
0,DSBM,0.004,0.175,Herm,0.9494962491410797
0,DSBM_PA,0.004,0.175,DiSim,0.0003043133592491462
0,DSBM_PA,0.004,0.175,Herm,0.0006649123233590488
0,DSBM,0.006,0.175,DiSim,0.48421410683514937
0,DSBM,0.006,0.175,Herm,0.9843401362854358
0,DSBM_PA,0.006,0.175,DiSim,-1.8680875229223163e-05
0,DSBM_PA,0.006,0.175,Herm,0.0005360060372283775
0,DSBM,0.008,0.175,DiSim,0.5659313800138235
0,DSBM,0.008,0.175,Herm,0.9948996205459253
0,DSBM_PA,0.008,0.175,DiSim,1.4312905489015822e-05
0,DSBM_PA,0.008,0.175,Herm,0.0004230045309048605
0,DSBM,0.002,0.26249999999999996,DiSim,0.00023941671284535444
0,DSBM,0.002,0.26249999999999996,Herm,0.14963826893110985
0,DSBM_PA,0.002,0.26249999999999996,DiSim,0.00026210761868376305
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.0002756835514461929
0,DSBM,0.004,0.26249999999999996,DiSim,0.026114161780606514
0,DSBM,0.004,0.26249999999999996,Herm,0.7293333555151204
0,DSBM_PA,0.004,0.26249999999999996,DiSim,0.0001712521487796495
0,DSBM_PA,0.004,0.26249999999999996,Herm,0.00012273010248475258
0,DSBM,0.006,0.26249999999999996,DiSim,0.15783399185116667
0,DSBM,0.006,0.26249999999999996,Herm,0.9036181219055753
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-3.539876139518969e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,0.00031848885808419367
0,DSBM,0.008,0.26249999999999996,DiSim,0.2619861369901726
0,DSBM,0.008,0.26249999999999996,Herm,0.9566574884635084
0,DSBM_PA,0.008,0.26249999999999996,DiSim,-8.353574373963111e-05
0,DSBM_PA,0.008,0.26249999999999996,Herm,-2.8070971758220008e-05
0,DSBM,0.002,0.35,DiSim,9.917924837667714e-05
0,DSBM,0.002,0.35,Herm,0.005878515616304405
0,DSBM_PA,0.002,0.35,DiSim,0.00019896947728392463
0,DSBM_PA,0.002,0.35,Herm,0.00011112340399083795
0,DSBM,0.004,0.35,DiSim,0.0003623700054094437
0,DSBM,0.004,0.35,Herm,0.10045491590114715
0,DSBM_PA,0.004,0.35,DiSim,0.0002142003610983258
0,DSBM_PA,0.004,0.35,Herm,-8.376478495872293e-05
0,DSBM,0.006,0.35,DiSim,0.00030886123538935694
0,DSBM,0.006,0.35,Herm,0.30199049603874295
0,DSBM_PA,0.006,0.35,DiSim,5.341315638004483e-05
0,DSBM_PA,0.006,0.35,Herm,0.0001841942276228268
0,DSBM,0.008,0.35,DiSim,0.0022801167275552465
0,DSBM,0.008,0.35,Herm,0.48750982298992807
0,DSBM_PA,0.008,0.35,DiSim,-5.8619386153685866e-05
0,DSBM_PA,0.008,0.35,Herm,0.00014730060556887272
0,DSBM,0.002,0.0,DiSim,0.5926958179773495
0,DSBM,0.002,0.0,Herm,0.9762635302426917
0,DSBM_PA,0.002,0.0,DiSim,0.01807949716728256
0,DSBM_PA,0.002,0.0,Herm,0.2906939334943495
0,DSBM,0.004,0.0,DiSim,0.7344958811763982
0,DSBM,0.004,0.0,Herm,0.9986266162564466
0,DSBM_PA,0.004,0.0,DiSim,0.14683878406531164
0,DSBM_PA,0.004,0.0,Herm,0.5060171648735471
0,DSBM,0.006,0.0,DiSim,0.7489523962793518
0,DSBM,0.006,0.0,Herm,1.0
0,DSBM_PA,0.006,0.0,DiSim,0.1828586313963256
