,p,noise,tau,algorithm,ari
0,0.006,0.0,0.4,DiSim,0.26409699925454105
0,0.006,0.0,0.4,Herm,0.44909958566576463
0,0.006,0.0,0.75,DiSim,0.26357975207466294
0,0.006,0.0,0.75,Herm,0.24927016895387905
0,0.006,0.0,0.85,DiSim,0.2635064015867329
0,0.006,0.0,0.85,Herm,0.2203736533451742
0,0.006,0.0,1,DiSim,0.2640856780352262
0,0.006,0.0,1,Herm,0.16309495195902465
0,0.006,0.0,1.15,DiSim,0.2633971597263662
0,0.006,0.0,1.15,Herm,0.04720313321858552
0,0.006,0.0,1.25,DiSim,0.26353126989291187
0,0.006,0.0,1.25,Herm,0.03829932726006995
0,0.006,0.0,1.6,DiSim,0.26410864051795935
0,0.006,0.0,1.6,Herm,0.0226664109661522
0,0.006,0.0,2,DiSim,0.2640669054547814
0,0.006,0.0,2,Herm,0.019719339649149917
0,0.006,0.0,3,DiSim,0.26409699925454105
0,0.006,0.0,3,Herm,0.014218680001565105
0,0.003,0.15,0.1,DiSim,0.0013129648521934224
0,0.003,0.15,0.1,Herm,0.002334830057983052
0,0.003,0.15,0.4,DiSim,0.0012355670136200468
0,0.003,0.15,0.4,Herm,0.002552754847575261
0,0.003,0.15,0.75,DiSim,0.0012506953485926279
0,0.003,0.15,0.75,Herm,0.0021241808455712175
0,0.003,0.15,0.85,DiSim,0.001306701870142259
0,0.003,0.15,0.85,Herm,0.0021515631086198184
0,0.003,0.15,1,DiSim,0.0012398223159175166
0,0.003,0.15,1,Herm,0.0020214915326633486
0,0.003,0.15,1.15,DiSim,0.0012058937635756727
0,0.003,0.15,1.15,Herm,0.001994482519821024
0,0.003,0.15,1.25,DiSim,0.0013086584544248117
0,0.003,0.15,1.25,Herm,0.001976886203323816
0,0.003,0.15,1.6,DiSim,0.0013086584544248117
0,0.003,0.15,1.6,Herm,0.0021342832709299467
0,0.003,0.15,2,DiSim,0.0012481204693995844
0,0.003,0.15,2,Herm,0.002065963520964314
0,0.003,0.15,3,DiSim,0.0012272646537206616
0,0.003,0.15,3,Herm,0.0016879642527674002
0,0.006,0.15,0.1,DiSim,0.033923776424789207
0,0.006,0.15,0.1,Herm,0.002338948301872503
0,0.006,0.15,0.4,DiSim,0.03395636642626243
0,0.006,0.15,0.4,Herm,0.0018634057740364955
0,0.006,0.15,0.75,DiSim,0.03424702277762326
0,0.006,0.15,0.75,Herm,0.0021024724902313826
0,0.006,0.15,0.85,DiSim,0.03403295626454557
0,0.006,0.15,0.85,Herm,0.002115918810223981
0,0.006,0.15,1,DiSim,0.033961142132795774
0,0.006,0.15,1,Herm,0.002120819072193548
0,0.006,0.15,1.15,DiSim,0.03388756028290558
