,c,k,noise,tau,algorithm,ari
0,20,5,0.0,0.1,DiSim,0.8049454632074362
0,20,5,0.0,0.1,Herm,0.7088600112192386
0,20,5,0.0,0.4,DiSim,0.8049454632074362
0,20,5,0.0,0.4,Herm,0.7110233003995836
0,20,5,0.0,0.75,DiSim,0.8049454632074362
0,20,5,0.0,0.75,Herm,0.7182970371020235
0,20,5,0.0,0.85,DiSim,0.8049454632074362
0,20,5,0.0,0.85,Herm,0.716926723496724
0,20,5,0.0,1,DiSim,0.8049454632074362
0,20,5,0.0,1,Herm,0.71522912734448
0,20,5,0.0,1.15,DiSim,0.8049454632074362
0,20,5,0.0,1.15,Herm,0.7132075889733623
0,20,5,0.0,1.25,DiSim,0.8049454632074362
0,20,5,0.0,1.25,Herm,0.710790500399125
0,20,5,0.0,1.6,DiSim,0.8049454632074362
0,20,5,0.0,1.6,Herm,0.7075667009395081
0,20,5,0.0,2,DiSim,0.8049454632074362
0,20,5,0.0,2,Herm,0.5111711922139992
0,20,5,0.0,3,DiSim,0.8049454632074362
0,20,5,0.0,3,Herm,0.47584982724461755
0,60,5,0.0,0.1,DiSim,0.9354306294415715
0,60,5,0.0,0.1,Herm,0.7156379091682102
0,60,5,0.0,0.4,DiSim,0.9354306294415715
0,60,5,0.0,0.4,Herm,0.7354952645171635
0,60,5,0.0,0.75,DiSim,0.9354306294415715
0,60,5,0.0,0.75,Herm,0.7445052721771609
0,60,5,0.0,0.85,DiSim,0.9354306294415715
0,60,5,0.0,0.85,Herm,0.74593794986629
0,60,5,0.0,1,DiSim,0.9354306294415715
0,60,5,0.0,1,Herm,0.7478189530649353
0,60,5,0.0,1.15,DiSim,0.9354306294415715
0,60,5,0.0,1.15,Herm,0.7496395355746784
0,60,5,0.0,1.25,DiSim,0.9354306294415715
0,60,5,0.0,1.25,Herm,0.7424597951101227
0,60,5,0.0,1.6,DiSim,0.9354306294415715
0,60,5,0.0,1.6,Herm,0.7528527430306008
0,60,5,0.0,2,DiSim,0.9354306294415715
0,60,5,0.0,2,Herm,0.7549089664533374
0,60,5,0.0,3,DiSim,0.9354306294415715
0,60,5,0.0,3,Herm,0.7575788117645122
0,20,3,0.15,0.1,DiSim,0.3005652828148599
0,20,3,0.15,0.1,Herm,0.0003753090828295578
0,20,3,0.15,0.4,DiSim,0.3005544240579584
0,20,3,0.15,0.4,Herm,0.00016221430154363998
0,20,3,0.15,0.75,DiSim,0.30054363906071435
0,20,3,0.15,0.75,Herm,0.0003467723565119604
0,20,3,0.15,0.85,DiSim,0.3005652828148599
0,20,3,0.15,0.85,Herm,0.00043599860415942404
0,20,3,0.15,1,DiSim,0.3005652828148599
0,20,3,0.15,1,Herm,0.0005482520503677463
0,20,3,0.15,1.15,DiSim,0.3005652828148599
0,20,3,0.15,1.15,Herm,0.0006910732931190041
0,20,3,0.15,1.25,DiSim,0.3005652828148599
0,20,3,0.15,1.25,Herm,0.0007358727701041305
0,20,3,0.15,1.6,DiSim,0.3005329278246656
0,20,3,0.15,1.6,Herm,0.0007702676804743556
0,20,3,0.15,2,DiSim,0.3005652828148599
0,20,3,0.15,2,Herm,0.0007335988152615992
0,20,3,0.15,3,DiSim,0.3005652828148599
0,20,3,0.15,3,Herm,0.0003209624912958275
0,60,3,0.15,0.1,DiSim,0.4808269898098217
0,60,3,0.15,0.1,Herm,0.00018412326061037154
0,60,3,0.15,0.4,DiSim,0.4808269898098217
0,60,3,0.15,0.4,Herm,1.91030921397555e-05
0,60,3,0.15,0.75,DiSim,0.4808269898098217
0,60,3,0.15,0.75,Herm,1.2178897633320793e-05
0,60,3,0.15,0.85,DiSim,0.4808269898098217
0,60,3,0.15,0.85,Herm,-2.446496451442262e-06
0,60,3,0.15,1,DiSim,0.4808269898098217
0,60,3,0.15,1,Herm,4.657609508141272e-06
0,60,3,0.15,1.15,DiSim,0.4808269898098217
0,60,3,0.15,1.15,Herm,7.64996198242627e-06
0,60,3,0.15,1.25,DiSim,0.4808269898098217
0,60,3,0.15,1.25,Herm,2.165658101570391e-06
0,60,3,0.15,1.6,DiSim,0.4808269898098217
0,60,3,0.15,1.6,Herm,-3.154000085028862e-05
0,60,3,0.15,2,DiSim,0.4808269898098217
0,60,3,0.15,2,Herm,-2.6859507764929056e-05
0,60,3,0.15,3,DiSim,0.4808269898098217
0,60,3,0.15,3,Herm,4.9675361115221e-05
0,20,5,0.15,0.1,DiSim,0.5707702047650396
0,20,5,0.15,0.1,Herm,0.6711609396585528
0,20,5,0.15,0.4,DiSim,0.5707702047650396
0,20,5,0.15,0.4,Herm,0.6702785080391488
0,20,5,0.15,0.75,DiSim,0.5707702047650396
0,20,5,0.15,0.75,Herm,0.6614861020314143
0,20,5,0.15,0.85,DiSim,0.5707702047650396
0,20,5,0.15,0.85,Herm,0.6578436728642991
0,20,5,0.15,1,DiSim,0.5707702047650396
0,20,5,0.15,1,Herm,0.6507846769361577
0,20,5,0.15,1.15,DiSim,0.5707702047650396
