,c,k,noise,omega,algorithm,ari
0,60,3,0.0,0.00025,Herm,0.9985021364330616
0,60,3,0.0,0.0005,DiSim,0.9321796388111657
0,60,3,0.0,0.0005,Herm,0.9985021364330616
0,60,3,0.0,0.00075,DiSim,0.9321796388111657
0,60,3,0.0,0.00075,Herm,0.9985021364330616
0,60,3,0.0,0.001,DiSim,0.9321796388111657
0,60,3,0.0,0.001,Herm,0.9985021364330616
0,60,3,0.0,0.00125,DiSim,0.9321796388111657
0,60,3,0.0,0.00125,Herm,0.9960007213770943
0,60,3,0.0,0.0015,DiSim,0.9316927189338954
0,60,3,0.0,0.0015,Herm,0.9915248592002242
0,60,3,0.0,0.00175,DiSim,0.9312060632990986
0,60,3,0.0,0.00175,Herm,0.9985021364330616
0,60,3,0.0,0.002,DiSim,0.9312060632990986
0,60,3,0.0,0.002,Herm,0.9985021364330616
0,20,5,0.0,0.0,DiSim,0.7982320382794191
0,20,5,0.0,0.0,Herm,0.9766020554949673
0,20,5,0.0,0.00025,DiSim,0.7798522123350767
0,20,5,0.0,0.00025,Herm,0.9746280128323884
0,20,5,0.0,0.0005,DiSim,0.7315595608829801
0,20,5,0.0,0.0005,Herm,0.9731430370331103
0,20,5,0.0,0.00075,DiSim,0.6516803791449327
0,20,5,0.0,0.00075,Herm,0.9721579905404633
0,20,5,0.0,0.001,DiSim,0.5972074270642149
0,20,5,0.0,0.001,Herm,0.9691883618013666
0,20,5,0.0,0.00125,DiSim,0.5461829591273774
0,20,5,0.0,0.00125,Herm,0.9667400703461666
0,20,5,0.0,0.0015,DiSim,0.5084368646242207
0,20,5,0.0,0.0015,Herm,0.9652718263048807
0,20,5,0.0,0.00175,DiSim,0.4720929247951523
0,20,5,0.0,0.00175,Herm,0.963303182575266
0,20,5,0.0,0.002,DiSim,0.4422436188347599
0,20,5,0.0,0.002,Herm,0.9625839856046483
0,60,5,0.0,0.0,DiSim,0.9391291654651347
0,60,5,0.0,0.0,Herm,0.9917826721683578
0,60,5,0.0,0.00025,DiSim,0.9371241807357565
0,60,5,0.0,0.00025,Herm,0.9957507105278403
0,60,5,0.0,0.0005,DiSim,0.9366269704224413
0,60,5,0.0,0.0005,Herm,0.9960126484782391
0,60,5,0.0,0.00075,DiSim,0.9363568238175587
0,60,5,0.0,0.00075,Herm,0.9960126484782391
0,60,5,0.0,0.001,DiSim,0.92728467323428
0,60,5,0.0,0.001,Herm,0.9960126484782391
0,60,5,0.0,0.00125,DiSim,0.8833306831446514
0,60,5,0.0,0.00125,Herm,0.9962638259976699
0,60,5,0.0,0.0015,DiSim,0.8676255220031047
0,60,5,0.0,0.0015,Herm,0.9960190251386153
0,60,5,0.0,0.00175,DiSim,0.8507236793837044
0,60,5,0.0,0.00175,Herm,0.9960190251386153
0,60,5,0.0,0.002,DiSim,0.8192523151783674
0,60,5,0.0,0.002,Herm,0.9960190251386153
0,20,3,0.15,0.0,DiSim,0.3196343482695207
0,20,3,0.15,0.0,Herm,0.9155670845532075
0,20,3,0.15,0.00025,DiSim,0.3163252928336929
0,20,3,0.15,0.00025,Herm,0.9141320758470581
0,20,3,0.15,0.0005,DiSim,0.3162226272532845
0,20,3,0.15,0.0005,Herm,0.9103388951242247
0,20,3,0.15,0.00075,DiSim,0.3028117004935466
0,20,3,0.15,0.00075,Herm,0.908438713044817
0,20,3,0.15,0.001,DiSim,0.29276371855930683
0,20,3,0.15,0.001,Herm,0.9075284959317208
0,20,3,0.15,0.00125,DiSim,0.2840483071031884
0,20,3,0.15,0.00125,Herm,0.9116299802077509
0,20,3,0.15,0.0015,DiSim,0.2710249807324834
0,20,3,0.15,0.0015,Herm,0.9071942834456648
0,20,3,0.15,0.00175,DiSim,0.2633782446079848
0,20,3,0.15,0.00175,Herm,0.9010117013698182
0,20,3,0.15,0.002,DiSim,0.25059912946601914
0,20,3,0.15,0.002,Herm,0.9038420734371626
0,60,3,0.15,0.0,DiSim,0.451739982275867
0,60,3,0.15,0.0,Herm,0.9822473190581656
0,60,3,0.15,0.00025,DiSim,0.4560316473283086
0,60,3,0.15,0.00025,Herm,0.981747782580041
0,60,3,0.15,0.0005,DiSim,0.45398583026409617
0,60,3,0.15,0.0005,Herm,0.981246688067329
0,60,3,0.15,0.00075,DiSim,0.44962214809141027
0,60,3,0.15,0.00075,Herm,0.9807458467242172
0,60,3,0.15,0.001,DiSim,0.4412326719301574
0,60,3,0.15,0.001,Herm,0.9807458467242172
0,60,3,0.15,0.00125,DiSim,0.43917610004835217
0,60,3,0.15,0.00125,Herm,0.981733506248251
0,60,3,0.15,0.0015,DiSim,0.7053113442740545
